"u_id","total_trips","avg_stay_length","avg_checked_bags","cancellation_rate","total_spend","avg_flight_discount_used","avg_hotel_discount_used","booking_rate","child_flag"
"435837","1","1.50","0.00","0.00","1848","0.03","0.00","0.13","0"
"435882","3","0.67","0.11","0.11","2394.79","0.01","0.01","0.44","0"
"436320","2","0.75","0.13","0.00","1174.43","0.01","0.01","0.25","1"
"436894","2","1.13","0.13","0.00","1370.81","0.05","0.02","0.25","0"
"437069","5","2.63","0.38","0.00","4740.40","0.01","0.02","0.63","0"
"437162","2","1.00","0.13","0.13","2184.44","0.04","0.01","0.38","0"
"437251","3","0.88","0.13","0.00","1609.12","0.00","0.00","0.38","0"
"437539","5","1.63","0.25","0.00","3491.15","0.01","0.01","0.63","0"
"437549","3","1.38","0.38","0.00","2429.85","0.03","0.03","0.38","0"
"438189","6","1.67","0.56","0.00","5595.23","0.00","0.01","0.67","0"
"438406","4","0.88","0.25","0.00","4216.06","0.01","0.01","0.50","0"
"438551","3","3.75","1.25","0.13","38957.92","0.02","0.03","0.50","1"
"438596","2","1.13","0.13","0.00","1480.48","0.03","0.00","0.25","0"
"438839","3","2.88","0.25","0.00","4052.33","0.04","0.03","0.38","1"
"438937","2","0.75","0.13","0.00","2210.34","0.01","0.04","0.25","0"
"438985","3","3.25","0.13","0.13","17241.90","0.03","0.02","0.50","0"
"438995","0","0.00","0.00","0.00","0","0.01","0.03","0.00","0"
"439052","4","2.22","0.22","0.00","4988.48","0.04","0.01","0.44","0"
"439120","2","0.13","0.13","0.00","890.91","0.00","0.01","0.25","0"
"439363","4","2.25","0.13","0.00","2820.30","0.01","0.01","0.50","0"
"440212","1","0.38","0.13","0.00","752.68","0.02","0.01","0.13","1"
"440655","3","0.88","0.00","0.00","2497.98","0.00","0.04","0.38","1"
"441200","3","1.00","0.25","0.00","1257.24","0.00","0.04","0.38","1"
"441205","2","0.00","0.13","0.00","797.74","0.03","0.01","0.25","1"
"441448","1","0.38","0.13","0.00","2135.04","0.01","0.00","0.13","1"
"441457","3","1.63","0.00","0.00","4061.68","0.03","0.04","0.38","0"
"441982","5","1.38","0.25","0.00","4730.41","0.03","0.01","0.63","0"
"442484","3","0.13","0.13","0.00","930.38","0.08","0.03","0.38","0"
"442718","4","1.50","0.13","0.00","4433.33","0.02","0.02","0.50","1"
"442812","1","1.25","0.00","0.00","850","0.02","0.00","0.13","1"
"442819","1","0.25","0.13","0.00","884.69","0.06","0.03","0.13","0"
"442833","4","0.88","0.13","0.00","5023.24","0.01","0.01","0.50","0"
"443305","1","0.50","0.13","0.00","786.2","0.01","0.00","0.13","0"
"443453","4","0.88","0.13","0.00","2661.66","0.08","0.04","0.50","0"
"443598","2","1.25","0.13","0.00","4123.08","0.02","0.06","0.25","0"
"443652","4","1.88","0.50","0.00","3691.84","0.01","0.01","0.50","0"
"444387","3","0.25","0.13","0.00","1566.00","0.04","0.00","0.38","0"
"444885","1","0.50","0.25","0.00","913.48","0.01","0.02","0.13","0"
"445351","4","1.75","0.00","0.00","2471.11","0.00","0.03","0.50","1"
"445515","2","0.75","0.13","0.00","2396.94","0.00","0.01","0.25","0"
"446124","5","2.13","0.38","0.00","4076.02","0.00","0.03","0.63","0"
"446138","3","2.88","0.00","0.13","7505.23","0.07","0.02","0.50","0"
"446473","3","0.38","0.25","0.00","1999.89","0.06","0.06","0.38","0"
"446933","4","0.88","0.25","0.00","2011.52","0.10","0.00","0.50","0"
"447053","2","0.88","0.13","0.00","1411.74","0.03","0.01","0.25","1"
"447591","1","0.25","0.00","0.00","703.0","0.02","0.00","0.13","0"
"447737","3","0.50","0.38","0.00","2425.05","0.02","0.03","0.38","0"
"447951","2","0.63","0.13","0.00","1398.41","0.02","0.00","0.25","0"
"448025","1","0.50","0.00","0.00","755.12","0.00","0.00","0.13","0"
"448154","2","1.00","0.00","0.00","4897.60","0.04","0.01","0.25","0"
"448295","2","0.38","0.13","0.00","1082.45","0.01","0.01","0.25","0"
"448467","2","2.11","0.00","0.00","4775","0.03","0.02","0.22","0"
"448564","5","1.75","0.25","0.00","3281.77","0.00","0.02","0.63","0"
"449033","5","1.67","0.56","0.00","3408.92","0.02","0.02","0.56","0"
"449326","2","1.13","0.13","0.00","2203.06","0.04","0.01","0.25","0"
"449619","3","2.25","0.38","0.00","3442.53","0.01","0.06","0.38","0"
"449804","3","1.00","0.38","0.00","3189.41","0.02","0.00","0.38","0"
"449980","1","3.50","0.00","0.13","15429.54","0.03","0.00","0.25","0"
"450164","4","1.88","0.25","0.00","4043.51","0.00","0.01","0.50","0"
"450193","2","2.13","0.13","0.00","7587.47","0.01","0.01","0.25","0"
"450305","3","1.63","0.13","0.00","2584.72","0.03","0.01","0.38","0"
"450615","4","2.13","0.38","0.00","1907.00","0.02","0.00","0.50","0"
"451291","4","0.22","0.22","0.00","4102.36","0.05","0.03","0.44","0"
"451674","0","0.00","0.00","0.00","0","0.04","0.01","0.00","1"
"452034","3","2.00","0.13","0.25","6604.69","0.00","0.01","0.63","0"
"452532","3","2.25","0.50","0.13","3455.57","0.03","0.02","0.50","0"
"452594","4","2.75","0.13","0.00","5259.03","0.01","0.00","0.50","1"
"452612","2","1.63","0.50","0.13","3436.51","0.02","0.03","0.38","1"
"453143","5","2.38","0.38","0.00","4619.40","0.01","0.03","0.63","0"
"453168","4","1.11","0.22","0.00","2188.85","0.02","0.00","0.44","0"
"454264","1","0.00","0.00","0.00","733.54","0.04","0.01","0.13","1"
"454430","3","1.13","0.00","0.00","5699.19","0.01","0.02","0.38","0"
"454616","1","0.38","0.00","0.00","1704.69","0.06","0.00","0.13","0"
"454661","3","0.88","0.13","0.00","2516.73","0.02","0.00","0.38","0"
"454920","5","3.00","0.38","0.00","9271.20","0.04","0.04","0.63","0"
"454934","3","1.25","0.63","0.13","2828.98","0.00","0.00","0.50","0"
"454955","1","0.38","0.13","0.00","1285.34","0.00","0.01","0.13","0"
"456226","5","2.50","0.63","0.00","7914.45","0.00","0.01","0.63","0"
"456318","1","0.38","0.00","0.00","800.66","0.03","0.00","0.13","0"
"456663","2","0.56","0.33","0.00","1901.39","0.03","0.00","0.22","1"
"456671","1","0.25","0.25","0.00","712.49","0.03","0.02","0.13","0"
"457468","4","2.38","0.50","0.00","3665.94","0.08","0.01","0.50","0"
"457599","5","1.63","0.25","0.00","3762.92","0.03","0.02","0.63","0"
"457967","0","0.00","0.00","0.00","0","0.01","0.00","0.00","0"
"458479","4","2.38","0.38","0.25","4673.72","0.03","0.01","0.75","0"
"458688","2","1.11","0.00","0.00","2507.68","0.06","0.01","0.22","0"
"458725","0","0.00","0.00","0.00","0","0.04","0.03","0.00","0"
"458762","4","0.56","0.33","0.00","1145.72","0.03","0.01","0.44","1"
"458814","4","1.63","0.00","0.00","5035.64","0.05","0.03","0.50","0"
"458855","2","0.33","0.11","0.00","1378.66","0.01","0.01","0.22","1"
"458919","2","0.38","0.38","0.00","1794.23","0.00","0.01","0.25","0"
"459229","4","2.75","0.25","0.00","9820.19","0.04","0.01","0.50","0"
"459486","2","0.44","0.11","0.00","1981.19","0.01","0.02","0.22","0"
"459645","1","0.56","0.11","0.00","1885.78","0.02","0.00","0.11","0"
"460072","2","1.00","0.00","0.00","1804.73","0.07","0.03","0.25","0"
"460181","2","1.38","0.00","0.00","2419.42","0.01","0.00","0.25","0"
"460553","3","3.38","0.13","0.00","4438.07","0.00","0.00","0.38","1"
"460625","5","3.78","0.11","0.11","6012.03","0.02","0.01","0.67","1"
"461559","4","1.63","0.25","0.00","2297.87","0.00","0.04","0.50","0"
"461744","2","1.00","0.00","0.00","1283.15","0.03","0.00","0.22","0"
"461791","3","0.67","0.11","0.00","3378.80","0.02","0.03","0.33","1"
"462127","2","0.13","0.13","0.00","971.90","0.04","0.01","0.25","0"
"462456","5","0.63","0.13","0.00","1797.87","0.03","0.00","0.63","1"
"462894","1","0.00","0.11","0.00","490.43","0.00","0.02","0.11","0"
"463652","1","0.13","0.13","0.00","358.62","0.04","0.03","0.13","0"
"463698","4","1.38","0.00","0.00","2144.05","0.00","0.02","0.50","0"
"463783","4","1.11","0.22","0.00","6545.47","0.02","0.00","0.44","0"
"463867","2","0.38","0.25","0.00","946.51","0.03","0.01","0.25","0"
"463910","5","1.63","0.50","0.00","6056.44","0.01","0.01","0.63","0"
"464080","1","0.63","0.25","0.00","726.7","0.03","0.01","0.13","0"
"464160","2","2.25","0.13","0.00","3188.31","0.01","0.00","0.25","1"
"464239","3","1.25","0.13","0.00","2207.05","0.07","0.01","0.38","0"
"464542","1","0.25","0.00","0.00","1012.4","0.03","0.04","0.13","1"
"464597","1","1.13","0.00","0.00","6129","0.00","0.01","0.13","1"
"464614","4","2.88","0.25","0.13","3784.18","0.01","0.00","0.63","0"
"464673","4","1.38","0.38","0.00","6612.18","0.02","0.00","0.50","1"
"464782","2","0.50","0.00","0.00","584.17","0.00","0.01","0.25","1"
"464855","2","3.88","0.38","0.13","16826.77","0.03","0.00","0.38","1"
"465138","4","1.38","0.38","0.00","3356.97","0.01","0.03","0.50","0"
"465343","2","1.00","0.25","0.00","5980.59","0.03","0.02","0.25","1"
"465531","2","1.13","0.00","0.00","1416.71","0.02","0.03","0.25","0"
"465568","1","0.38","0.00","0.00","657","0.04","0.03","0.13","1"
"465731","3","1.88","0.00","0.13","4853.62","0.03","0.01","0.50","0"
"466205","4","2.88","0.25","0.00","4590.86","0.04","0.00","0.50","1"
"466342","2","3.00","0.00","0.00","7944","0.00","0.02","0.25","0"
"466723","4","1.25","0.00","0.13","3725.13","0.04","0.00","0.63","0"
"467007","4","1.50","0.75","0.00","16239.01","0.01","0.01","0.50","1"
"467092","1","2.50","0.00","0.13","3302.06","0.00","0.01","0.25","1"
"467339","3","0.63","0.50","0.00","1307.14","0.02","0.00","0.38","1"
"467809","3","0.63","0.13","0.00","2294.97","0.00","0.03","0.38","1"
"467892","5","2.25","0.00","0.13","12962.19","0.00","0.01","0.75","0"
"468106","4","0.75","0.00","0.00","2667.38","0.02","0.01","0.50","0"
"468370","4","2.25","0.13","0.00","1411.40","0.03","0.00","0.50","0"
"468409","5","2.25","0.38","0.13","5350.04","0.07","0.00","0.63","0"
"468666","3","0.60","0.10","0.00","1800.34","0.11","0.01","0.30","1"
"468801","3","0.50","0.13","0.00","2023.98","0.05","0.04","0.38","1"
"468808","4","1.00","0.25","0.00","3697.24","0.02","0.02","0.50","1"
"468832","5","2.38","0.50","0.13","4206.60","0.00","0.00","0.75","0"
"469237","1","0.38","0.00","0.00","1536","0.03","0.03","0.13","1"
"469418","0","0.00","0.00","0.00","0","0.02","0.01","0.00","1"
"469440","4","1.75","0.13","0.13","4185.58","0.02","0.00","0.63","1"
"469464","4","1.88","0.38","0.00","3635.38","0.08","0.03","0.50","0"
"469699","2","0.56","0.22","0.00","799.0","0.01","0.01","0.22","1"
"469767","4","1.38","0.38","0.00","3699.58","0.00","0.02","0.50","0"
"469824","3","2.13","0.25","0.00","2644.25","0.03","0.04","0.38","0"
"471077","6","1.25","0.38","0.00","3738.00","0.06","0.00","0.75","0"
"471161","2","0.63","0.38","0.00","1720.43","0.01","0.05","0.25","0"
"471186","2","0.38","0.00","0.00","1650.48","0.00","0.03","0.25","0"
"471500","3","2.13","0.00","0.00","3958.81","0.02","0.01","0.38","1"
"471565","2","1.75","0.13","0.00","1819.76","0.01","0.01","0.25","1"
"471649","1","0.50","0.00","0.00","96","0.05","0.01","0.13","1"
"471687","4","1.22","0.22","0.00","4902.71","0.01","0.00","0.44","0"
"471717","3","0.75","0.13","0.00","2004.47","0.04","0.02","0.38","1"
"471935","3","0.78","0.00","0.00","3101.37","0.00","0.01","0.33","0"
"471946","1","0.38","0.00","0.00","282","0.00","0.00","0.13","1"
"471973","0","0.00","0.00","0.00","0","0.05","0.03","0.00","1"
"472394","2","1.25","0.13","0.00","3423.85","0.05","0.00","0.25","0"
"472446","2","0.13","0.00","0.00","625.27","0.02","0.00","0.25","0"
"472614","2","0.63","0.13","0.00","1983.54","0.02","0.00","0.25","0"
"472713","4","1.67","0.44","0.00","4300.76","0.07","0.06","0.44","1"
"472785","3","0.88","0.25","0.00","2650.82","0.01","0.00","0.38","0"
