"u_id","perk_label","total_trips","total_spend","avg_stay_length","age","gender","child_flag"
"440212","Free checked bag","1","752.68","0.38","40","F","1"
"440655","Exclusive discounts","3","2497.98","0.88","32","F","1"
"441200","Exclusive discounts","3","1257.24","1.00","36","F","1"
"441205","Exclusive discounts","2","797.74","0.00","47","F","1"
"441448","Free checked bag","1","2135.04","0.38","29","F","1"
"441457","1 night free hotel with flight","3","4061.68","1.63","60","F","0"
"441982","1 night free hotel with flight","5","4730.41","1.38","48","F","0"
"442484","Exclusive discounts","3","930.38","0.13","44","F","0"
"442718","1 night free hotel with flight","4","4433.33","1.50","49","F","1"
"442812","Free checked bag","1","850","1.25","56","F","1"
"442819","Exclusive discounts","1","884.69","0.25","72","F","0"
"442833","1 night free hotel with flight","4","5023.24","0.88","40","F","0"
"443305","Free checked bag","1","786.2","0.50","22","F","0"
"443453","Exclusive discounts","4","2661.66","0.88","37","F","0"
"443598","Exclusive discounts","2","4123.08","1.25","44","F","0"
"443652","1 night free hotel with flight","4","3691.84","1.88","31","F","0"
"444387","Exclusive discounts","3","1566.00","0.25","47","F","0"
"444885","Exclusive discounts","1","913.48","0.50","34","F","0"
"445351","Exclusive discounts","4","2471.11","1.75","54","F","1"
"445515","Free checked bag","2","2396.94","0.75","41","F","0"
"446124","1 night free hotel with flight","5","4076.02","2.13","46","F","0"
"446138","Free hotel meal","3","7505.23","2.88","40","F","0"
"446473","Exclusive discounts","3","1999.89","0.38","49","F","0"
"446933","Exclusive discounts","4","2011.52","0.88","48","M","0"
"447053","Exclusive discounts","2","1411.74","0.88","38","F","1"
"447591","Free checked bag","1","703.0","0.25","23","M","0"
"447737","Exclusive discounts","3","2425.05","0.50","43","F","0"
"447951","Free checked bag","2","1398.41","0.63","43","F","0"
"448025","Free checked bag","1","755.12","0.50","30","F","0"
"448154","Exclusive discounts","2","4897.60","1.00","56","F","0"
"448295","Free checked bag","2","1082.45","0.38","52","M","0"
"448467","Exclusive discounts","2","4775","2.11","39","F","0"
"448564","Exclusive discounts","5","3281.77","1.75","50","F","0"
"449033","Free checked bag","5","3408.92","1.67","42","F","0"
"449326","Exclusive discounts","2","2203.06","1.13","40","F","0"
"449619","Exclusive discounts","3","3442.53","2.25","36","F","0"
"449804","Free checked bag","3","3189.41","1.00","42","F","0"
"449980","Free hotel meal","1","15429.54","3.50","19","F","0"
"450164","1 night free hotel with flight","4","4043.51","1.88","38","F","0"
"450193","Free checked bag","2","7587.47","2.13","36","F","0"
"450305","Exclusive discounts","3","2584.72","1.63","40","F","0"
"450615","Free checked bag","4","1907.00","2.13","45","F","0"
"451291","1 night free hotel with flight","4","4102.36","0.22","55","F","0"
"451674","Exclusive discounts","0","0","0.00","25","F","1"
"452034","No cancelation fee","3","6604.69","2.00","50","F","0"
"452532","Exclusive discounts","3","3455.57","2.25","33","F","0"
"452594","Free hotel meal","4","5259.03","2.75","45","F","1"
"452612","Exclusive discounts","2","3436.51","1.63","44","F","1"
"453143","1 night free hotel with flight","5","4619.40","2.38","47","F","0"
"453168","Free checked bag","4","2188.85","1.11","47","F","0"
"454264","Exclusive discounts","1","733.54","0.00","50","F","1"
"454430","1 night free hotel with flight","3","5699.19","1.13","39","F","0"
"454616","Exclusive discounts","1","1704.69","0.38","45","F","0"
"454661","Free checked bag","3","2516.73","0.88","47","F","0"
"454920","Free hotel meal","5","9271.20","3.00","39","F","0"
"454934","Free checked bag","3","2828.98","1.25","43","F","0"
"454955","Free checked bag","1","1285.34","0.38","52","F","0"
"456226","Free checked bag","5","7914.45","2.50","49","F","0"
"456318","Exclusive discounts","1","800.66","0.38","31","F","0"
"456663","Exclusive discounts","2","1901.39","0.56","38","F","1"
"456671","Exclusive discounts","1","712.49","0.25","39","F","0"
"457468","1 night free hotel with flight","4","3665.94","2.38","41","F","0"
"457599","1 night free hotel with flight","5","3762.92","1.63","40","F","0"
"457967","Free checked bag","0","0","0.00","21","F","0"
"458479","No cancelation fee","4","4673.72","2.38","46","F","0"
"458688","Exclusive discounts","2","2507.68","1.11","44","F","0"
"458725","Exclusive discounts","0","0","0.00","18","F","0"
"458762","Exclusive discounts","4","1145.72","0.56","41","F","1"
"458814","1 night free hotel with flight","4","5035.64","1.63","33","F","0"
"458855","Free checked bag","2","1378.66","0.33","31","F","1"
"458919","Free checked bag","2","1794.23","0.38","37","F","0"
"459229","Free hotel meal","4","9820.19","2.75","42","F","0"
"459486","Exclusive discounts","2","1981.19","0.44","29","F","0"
"459645","Free checked bag","1","1885.78","0.56","31","F","0"
"460072","Exclusive discounts","2","1804.73","1.00","50","M","0"
"460181","Free checked bag","2","2419.42","1.38","66","F","0"
"460553","Free hotel meal","3","4438.07","3.38","55","F","1"
"460625","Free hotel meal","5","6012.03","3.78","47","F","1"
"461559","Exclusive discounts","4","2297.87","1.63","33","F","0"
"461744","Exclusive discounts","2","1283.15","1.00","31","F","0"
"461791","Exclusive discounts","3","3378.80","0.67","51","F","1"
"462127","Exclusive discounts","2","971.90","0.13","42","F","0"
"462456","Exclusive discounts","5","1797.87","0.63","41","F","1"
"462894","Exclusive discounts","1","490.43","0.00","52","F","0"
"463652","Exclusive discounts","1","358.62","0.13","39","F","0"
"463698","Exclusive discounts","4","2144.05","1.38","38","F","0"
"463783","1 night free hotel with flight","4","6545.47","1.11","51","F","0"
"463867","Exclusive discounts","2","946.51","0.38","32","F","0"
"463910","1 night free hotel with flight","5","6056.44","1.63","44","F","0"
"464080","Exclusive discounts","1","726.7","0.63","71","F","0"
"464160","Free checked bag","2","3188.31","2.25","50","F","1"
"464239","Exclusive discounts","3","2207.05","1.25","50","F","0"
"464542","Exclusive discounts","1","1012.4","0.25","25","F","1"
"464597","Free checked bag","1","6129","1.13","60","F","1"
"464614","Free hotel meal","4","3784.18","2.88","38","F","0"
"464673","1 night free hotel with flight","4","6612.18","1.38","50","M","1"
"464782","Free checked bag","2","584.17","0.50","48","F","1"
"464855","Free hotel meal","2","16826.77","3.88","29","F","1"
"465138","Exclusive discounts","4","3356.97","1.38","38","F","0"
"465343","Exclusive discounts","2","5980.59","1.00","53","F","1"
"465531","Exclusive discounts","2","1416.71","1.13","35","F","0"
"465568","Exclusive discounts","1","657","0.38","50","F","1"
"465731","1 night free hotel with flight","3","4853.62","1.88","57","F","0"
"466205","Free hotel meal","4","4590.86","2.88","40","F","1"
"466342","Free hotel meal","2","7944","3.00","18","M","0"
"466723","1 night free hotel with flight","4","3725.13","1.25","40","F","0"
"467007","Free checked bag","4","16239.01","1.50","50","M","1"
"467092","Free checked bag","1","3302.06","2.50","19","F","1"
"467339","Free checked bag","3","1307.14","0.63","43","F","1"
"467809","Exclusive discounts","3","2294.97","0.63","48","F","1"
"467892","1 night free hotel with flight","5","12962.19","2.25","32","F","0"
"468106","Free checked bag","4","2667.38","0.75","46","F","0"
"468370","Exclusive discounts","4","1411.40","2.25","34","F","0"
"468409","1 night free hotel with flight","5","5350.04","2.25","50","F","0"
"468666","Exclusive discounts","3","1800.34","0.60","43","F","1"
"468801","Exclusive discounts","3","2023.98","0.50","45","F","1"
"468808","1 night free hotel with flight","4","3697.24","1.00","46","F","1"
"468832","1 night free hotel with flight","5","4206.60","2.38","38","F","0"
"469237","Exclusive discounts","1","1536","0.38","18","F","1"
"469418","Free checked bag","0","0","0.00","26","F","1"
"469440","1 night free hotel with flight","4","4185.58","1.75","45","F","1"
"469464","1 night free hotel with flight","4","3635.38","1.88","47","F","0"
"469699","Free checked bag","2","799.0","0.56","55","F","1"
"469767","1 night free hotel with flight","4","3699.58","1.38","49","F","0"
"469824","Exclusive discounts","3","2644.25","2.13","52","F","0"
"471077","1 night free hotel with flight","6","3738.00","1.25","58","F","0"
"471161","Exclusive discounts","2","1720.43","0.63","41","F","0"
"471186","Exclusive discounts","2","1650.48","0.38","51","F","0"
"471500","1 night free hotel with flight","3","3958.81","2.13","27","F","1"
"471565","Free checked bag","2","1819.76","1.75","31","F","1"
"471649","Exclusive discounts","1","96","0.50","48","F","1"
"471687","1 night free hotel with flight","4","4902.71","1.22","42","F","0"
"471717","Exclusive discounts","3","2004.47","0.75","47","F","1"
"471935","Free checked bag","3","3101.37","0.78","49","F","0"
"471946","Free checked bag","1","282","0.38","46","F","1"
"471973","Exclusive discounts","0","0","0.00","37","F","1"
"472394","Exclusive discounts","2","3423.85","1.25","43","F","0"
"472446","Free checked bag","2","625.27","0.13","18","F","0"
"472614","Free checked bag","2","1983.54","0.63","40","F","0"
"472713","1 night free hotel with flight","4","4300.76","1.67","42","F","1"
"472785","Free checked bag","3","2650.82","0.88","47","M","0"
"472966","Free checked bag","2","1513.92","0.33","38","F","0"
"473332","1 night free hotel with flight","4","5481.63","1.75","51","F","0"
"473343","Free checked bag","3","2099.02","1.00","49","F","0"
"473402","Free checked bag","3","6763.79","4.50","43","F","0"
"473467","Exclusive discounts","4","3414.96","1.00","44","F","0"
"473568","Exclusive discounts","1","1124.32","0.25","50","F","1"
"473712","1 night free hotel with flight","6","4657.09","2.00","46","F","0"
"473847","Exclusive discounts","1","1906.08","0.63","32","F","1"
"474007","Free checked bag","1","223.23","0.13","18","F","0"
"474120","1 night free hotel with flight","4","10750.95","2.50","44","M","1"
"474239","Free checked bag","1","9479.06","0.00","26","F","1"
"474261","Exclusive discounts","3","3102.7","2.63","35","F","0"
"474278","Exclusive discounts","0","0","0.00","25","F","0"
"474384","Exclusive discounts","4","2908.17","0.88","42","F","0"
"474464","Free checked bag","3","4334.45","0.75","58","F","0"
"474546","1 night free hotel with flight","5","5650.98","2.13","54","F","0"
"474951","Exclusive discounts","5","3333.07","1.20","38","F","0"
"474980","Free checked bag","3","2691.66","1.25","42","F","0"
"475060","Exclusive discounts","2","1082.48","0.88","32","F","0"
"475130","Free checked bag","6","4134.57","0.88","47","F","1"
"475467","Exclusive discounts","3","2941.39","1.00","36","F","0"
"475531","Free checked bag","4","2255.80","0.78","39","F","0"
"476081","Free checked bag","4","2018.72","1.13","57","F","1"
"476104","Free checked bag","7","9390.31","2.25","51","F","1"
"476124","Exclusive discounts","3","2657.52","1.13","36","F","0"
"476173","Free checked bag","1","3315","1.63","25","F","0"
"476270","Free checked bag","3","3022.29","1.75","52","M","0"
"476393","Exclusive discounts","2","1721.33","0.50","52","F","0"
"476436","Free checked bag","4","3499.01","1.50","42","F","1"
"476535","Free checked bag","4","2300.21","0.78","49","F","1"
"476665","1 night free hotel with flight","6","11089.01","2.38","39","F","0"
"476693","1 night free hotel with flight","4","3728.21","1.13","38","F","0"
"476714","1 night free hotel with flight","3","4375.66","1.38","45","F","0"
"476742","Exclusive discounts","2","2855.8","1.13","49","M","1"
"476916","Exclusive discounts","0","0","0.00","34","F","1"
"476956","Free checked bag","3","2062.52","0.88","29","F","0"
"477285","Exclusive discounts","2","1593.56","0.63","53","F","0"
"477316","Free checked bag","4","2864.27","1.63","39","F","0"
"477597","Exclusive discounts","2","2258.00","0.75","48","F","1"
"477730","Free hotel meal","5","10835.71","2.88","46","F","0"
"477805","Exclusive discounts","1","2000","1.25","34","F","0"
"478003","Free checked bag","3","2323.54","0.40","55","M","0"
"478146","Exclusive discounts","3","2614.81","1.00","50","F","0"
"478188","Free checked bag","3","1769.93","1.38","30","M","0"
"478228","Free checked bag","2","1770.98","1.63","28","M","0"
"478291","Free checked bag","2","1436.32","0.38","48","F","1"
"478533","Free checked bag","1","880.66","0.63","49","F","0"
"478585","1 night free hotel with flight","5","4770.16","1.13","47","F","0"
"478760","1 night free hotel with flight","2","12050.36","0.13","22","F","0"
"478801","Exclusive discounts","3","1554.22","0.80","50","F","0"
"478834","Exclusive discounts","0","0","0.00","41","M","1"
"479071","Free checked bag","5","3473.60","1.22","38","F","0"
"479078","Exclusive discounts","1","1695.86","0.88","19","M","0"
"479101","Free checked bag","1","271.63","0.13","36","F","1"
"479254","Exclusive discounts","3","2564.25","0.89","45","F","0"
"479524","Exclusive discounts","1","11555.36","1.78","34","F","0"
"479785","Exclusive discounts","0","0","0.00","38","M","1"
"480186","Free checked bag","0","0","0.00","25","F","0"
"480313","Exclusive discounts","3","1536.27","0.75","48","F","0"
"480331","Exclusive discounts","3","2545.80","1.00","41","F","0"
"480690","1 night free hotel with flight","4","3531.59","1.25","48","F","0"
"480796","Free checked bag","3","2946.21","1.50","41","F","1"
"480877","Exclusive discounts","4","3148.27","0.75","49","F","0"
"480895","1 night free hotel with flight","3","8507.11","2.13","43","F","0"
"480975","Exclusive discounts","0","0","0.00","71","F","0"
"481050","Free checked bag","2","1488.63","1.13","48","F","1"
"481245","Exclusive discounts","2","1821.36","1.89","47","F","0"
"481292","Exclusive discounts","4","2567.23","0.75","33","F","0"
"481358","Exclusive discounts","1","9.27","0.00","19","F","0"
"481554","1 night free hotel with flight","5","8437.63","2.22","47","F","0"
"481622","1 night free hotel with flight","4","5629.92","1.50","43","F","0"
"481772","Free hotel meal","3","9687.92","4.25","34","F","0"
"481781","Free checked bag","0","0","0.00","76","F","0"
"482264","1 night free hotel with flight","4","3581.13","2.25","43","F","1"
"482335","Exclusive discounts","1","228","0.22","43","F","0"
"482424","1 night free hotel with flight","4","3716.56","1.33","41","F","0"
"482548","1 night free hotel with flight","4","12263.40","1.50","29","F","1"
"482602","Free checked bag","4","1899.98","0.63","45","F","0"
"482621","Exclusive discounts","2","4183.2","1.63","48","F","1"
"482630","Exclusive discounts","2","1184.38","0.50","31","F","0"
"482744","Exclusive discounts","4","2754.31","1.56","39","F","0"
"482811","Exclusive discounts","1","4183.34","0.00","68","M","0"
"483224","Free checked bag","3","1932.94","1.13","47","F","0"
"483237","1 night free hotel with flight","4","5760.38","2.00","37","F","0"
"483345","1 night free hotel with flight","5","5490.71","1.88","45","F","1"
"483480","1 night free hotel with flight","5","3537.83","2.00","40","M","1"
"483483","Exclusive discounts","2","845.81","0.50","46","F","1"
"483525","Exclusive discounts","1","819.81","0.38","46","F","1"
"483603","Exclusive discounts","4","2616.13","0.44","39","F","0"
"483928","1 night free hotel with flight","5","3872.77","1.88","42","F","0"
